DateTime_Out,Line,Feed,OutputGood,Scrap
2018-01-07 04:00:00,4,10379,10260,119
2018-01-07 05:00:00,3,10256,10260,-4
2018-01-07 05:00:00,4,10488,10314,174
2018-01-07 06:00:00,3,9793,9652,141
2018-01-07 06:00:00,4,10604,10488,116
2018-01-07 07:00:00,3,8840,8748,92
2018-01-07 07:00:00,4,10552,10476,76
2018-01-07 08:00:00,3,10516,10476,40
2018-01-07 08:00:00,4,9952,9774,178
2018-01-07 09:00:00,3,10552,10476,76
2018-01-07 09:00:00,4,10360,10260,100
2018-01-07 10:00:00,3,10456,10314,142
2018-01-07 10:00:00,4,9912,9774,138
2018-01-07 11:00:00,3,9672,9612,60
2018-01-07 11:00:00,4,10427,10152,275
2018-01-07 12:00:00,3,10469,10428,41
2018-01-07 12:00:00,4,9153,8942,211
2018-01-07 13:00:00,3,10096,9936,160
2018-01-07 13:00:00,4,9556,9882,-326
2018-01-07 14:00:00,3,10384,10314,70
2018-01-07 15:00:00,3,10280,10206,74
2018-01-07 16:00:00,3,10284,10314,-30
2018-01-07 17:00:00,3,9420,9342,78
2018-01-07 18:00:00,3,9436,9234,202
2018-01-07 19:00:00,3,10129,10016,113
2018-01-07 20:00:00,3,10108,9990,118
2018-01-07 21:00:00,3,9364,9342,22
2018-01-07 22:00:00,3,9496,9450,46
2018-01-07 23:00:00,3,9856,9666,190
2018-01-08 00:00:00,3,10032,9882,150
2018-01-08 01:00:00,3,10157,10098,59
2018-01-08 01:00:00,4,4293,3672,621
2018-01-08 02:00:00,3,10164,10036,128
2018-01-08 02:00:00,4,7106,6804,302
2018-01-08 03:00:00,3,10748,10584,164
2018-01-08 03:00:00,4,9143,8964,179
2018-01-08 04:00:00,3,10232,10260,-28
2018-01-08 04:00:00,4,8438,8262,176
2018-01-08 05:00:00,3,10400,10260,140
2018-01-08 05:00:00,4,10299,10152,147
2018-01-08 06:00:00,3,10432,10368,64
2018-01-08 06:00:00,4,9292,9126,166
2018-01-08 07:00:00,3,10460,10314,146
2018-01-08 07:00:00,4,9686,9558,128
2018-01-08 08:00:00,3,10477,10380,97
2018-01-08 08:00:00,4,9349,9146,203
2018-01-08 09:00:00,3,10812,10692,120
2018-01-08 09:00:00,4,9236,9018,218
2018-01-08 10:00:00,3,10748,10692,56
2018-01-08 10:00:00,4,8132,8046,86
2018-01-08 11:00:00,3,5930,6318,-388
2018-01-08 11:00:00,4,9816,9666,150
2018-01-08 12:00:00,3,6201,5454,747
2018-01-08 12:00:00,4,9536,9342,194
2018-01-08 13:00:00,3,9876,9720,156
2018-01-08 13:00:00,4,4388,4266,122
2018-01-08 14:00:00,3,10496,10368,128
2018-01-08 14:00:00,4,10532,10260,272
2018-01-08 15:00:00,3,10508,10476,32
2018-01-08 15:00:00,4,9672,9612,60
2018-01-08 16:00:00,3,10258,10152,106
2018-01-08 16:00:00,4,10323,10084,239
2018-01-08 17:00:00,3,10676,10530,146
2018-01-08 17:00:00,4,10012,9882,130
2018-01-08 18:00:00,3,9917,9902,15
2018-01-08 18:00:00,4,9992,9828,164
2018-01-08 19:00:00,3,10064,9936,128
2018-01-08 19:00:00,4,8156,7992,164
2018-01-08 20:00:00,3,10120,9990,130
2018-01-08 20:00:00,4,9996,9882,114
2018-01-08 21:00:00,3,10648,10584,64
2018-01-08 21:00:00,4,8486,8316,170
