	Line	ProductDescription	DateTime_Out	Feed	OutputGood	Scrap	Error_Count	Sum_Duration	Sum_Staff
275	1	5	2018-01-15 01:00:00	9628	9774	-146	19	2878	4
276	1	5	2018-01-15 02:00:00	5719	5562	157	47	566	4
277	1	5	2018-01-15 03:00:00	9380	9234	146	50	582	4
278	1	5	2018-01-15 04:00:00	9087	9018	69	55	1620	4
279	1	5	2018-01-15 05:00:00	9123	9126	-3	88	554	4
280	1	5	2018-01-15 06:00:00	9440	9396	44	40	640	8
281	1	5	2018-01-15 07:00:00	9595	9450	145	32	628	4
282	1	5	2018-01-15 08:00:00	9953	9882	71	28	546	4
283	1	5	2018-01-15 09:00:00	9227	9234	-7	45	504	4
284	1	5	2018-01-15 10:00:00	10164	10044	120	38	452	4
285	1	5	2018-01-15 11:00:00	10351	10260	91	42	510	4
286	1	5	2018-01-15 12:00:00	9408	9450	-42	89	326	4
287	1	5	2018-01-15 13:00:00	10648	10530	118	28	274	4
288	1	5	2018-01-15 14:00:00	10347	10314	33	52	488	8
289	1	5	2018-01-15 15:00:00	10884	10800	84	29	190	8
290	1	5	2018-01-15 16:00:00	9900	9882	18	20	262	4
291	1	5	2018-01-15 17:00:00	10164	10098	66	10	86	4
292	1	5	2018-01-15 18:00:00	9392	9342	50	43	396	4
293	1	5	2018-01-15 19:00:00	9192	9180	12	33	314	4
294	1	5	2018-01-15 20:00:00	3583	3564	19	53	550	4
295	1	5	2018-01-15 21:00:00	4523	4482	41	81	586	4
296	1	5	2018-01-15 22:00:00	6076	6048	28	20	3498	8
297	1	5	2018-01-15 23:00:00	7572	7506	66	40	1310	8
298	1	5	2018-01-16 00:00:00	9083	9072	11	39	2040	4
299	1	5	2018-01-16 01:00:00	9027	9072	-45	47	528	4
300	1	5	2018-01-16 02:00:00	8856	8748	108	48	626	4
301	1	5	2018-01-16 03:00:00	8484	8424	60	59	656	4
302	1	5	2018-01-16 04:00:00	9487	9558	-71	47	730	4
303	1	5	2018-01-16 05:00:00	8015	7830	185	57	856	4
304	1	5	2018-01-16 06:00:00	8657	8640	17	66	630	8
305	1	5	2018-01-16 07:00:00	8723	8694	29	98	1056	4
306	1	5	2018-01-16 08:00:00	9635	9558	77	80	596	4
307	1	5	2018-01-16 09:00:00	2480	2430	50	77	740	4
308	1	5	2018-01-16 10:00:00	10507	10476	31	85	1322	4
309	1	5	2018-01-16 11:00:00	9916	9882	34	24	1990	4
310	1	5	2018-01-16 12:00:00	2691	3168	-477	46	126	4
311	1	6	2018-01-16 13:00:00	1690	1080	610	67	512	4
312	1	6	2018-01-16 14:00:00	5680	5454	226	29	4260	8
313	1	6	2018-01-16 15:00:00	4664	4482	182	22	1400	8
314	1	6	2018-01-16 16:00:00	1670	2196	-526	34	1586	4
315	1	1	2018-01-16 17:00:00	2350	1782	568	31	2086	4
316	1	1	2018-01-16 18:00:00	3940	3996	-56	78	5578	4
317	1	1	2018-01-16 19:00:00	9194	9072	122	24	114	4
318	1	1	2018-01-16 20:00:00	4078	3942	136	59	2278	4
319	1	1	2018-01-16 21:00:00	9472	9396	76	81	630	4
320	1	1	2018-01-16 22:00:00	8605	8532	73	71	2272	8
321	1	1	2018-01-16 23:00:00	7039	7236	-197	61	472	8
322	1	1	2018-01-17 00:00:00	7809	7506	303	70	904	4
323	1	1	2018-01-17 01:00:00	7554	7560	-6	60	1192	4
324	1	1	2018-01-17 02:00:00	7187	7074	113	87	1026	4
325	1	1	2018-01-17 07:00:00	5012	5022	-10	21	208	4
326	1	1	2018-01-17 08:00:00	9192	9126	66	60	16610	4
327	1	1	2018-01-17 09:00:00	9392	9288	104	16	142	4
328	1	1	2018-01-17 10:00:00	9258	9180	78	35	366	4
329	1	1	2018-01-17 11:00:00	9454	9450	4	28	188	4
330	1	1	2018-01-17 12:00:00	8510	8532	-22	28	238	4
331	1	1	2018-01-17 13:00:00	9832	9720	112	47	440	4
332	1	1	2018-01-17 14:00:00	8339	8208	131	22	170	8
333	1	1	2018-01-17 15:00:00	7788	7938	-150	25	288	8
