Line,Staff,StartTime,EndTime
1,4,2018-02-08 14:50:04,2018-02-08 23:00:04
1,3,2018-02-08 22:50:03,2018-02-09 06:40:03
1,4,2018-02-08 22:50:04,2018-02-09 06:40:04
1,3,2018-02-09 06:30:03,2018-02-09 11:40:42
1,4,2018-02-09 06:30:04,2018-02-09 13:20:28
1,3,2018-02-09 13:20:31,2018-02-09 15:00:00
1,3,2018-02-09 14:50:03,2018-02-09 23:00:03
1,3,2018-02-09 22:50:03,2018-02-10 06:40:03
1,3,2018-02-10 06:30:03,2018-02-10 15:00:03
1,3,2018-02-10 14:50:03,2018-02-10 23:00:03
1,3,2018-02-10 22:50:03,2018-02-11 06:40:03
1,3,2018-02-11 06:30:03,2018-02-11 15:00:03
1,3,2018-02-11 14:50:03,2018-02-11 18:52:40
1,3,2018-02-11 18:52:49,2018-02-11 23:00:00
1,3,2018-02-11 22:50:03,2018-02-12 06:40:03
1,3,2018-02-12 06:30:03,2018-02-12 15:00:03
1,3,2018-02-12 14:50:03,2018-02-12 23:00:03
1,3,2018-02-12 22:50:03,2018-02-13 06:40:03
1,3,2018-02-13 06:30:03,2018-02-13 15:00:03
1,3,2018-02-13 14:50:03,2018-02-13 23:00:03
1,3,2018-02-13 22:50:03,2018-02-14 06:40:03
1,3,2018-02-14 06:30:03,2018-02-14 08:43:24
1,4,2018-02-14 08:43:28,2018-02-14 15:00:00
1,4,2018-02-14 14:50:04,2018-02-14 23:00:00
1,3,2018-02-14 21:28:59,2018-02-14 23:00:00
1,3,2018-02-14 22:50:03,2018-02-15 06:40:03
1,4,2018-02-14 22:50:04,2018-02-15 06:40:04
1,3,2018-02-15 06:30:03,2018-02-15 15:00:03
1,4,2018-02-15 06:30:04,2018-02-15 15:00:04
1,3,2018-02-15 14:50:03,2018-02-15 23:00:03
1,4,2018-02-15 14:50:04,2018-02-15 23:00:04
1,3,2018-02-15 22:50:03,2018-02-16 06:40:03
1,4,2018-02-15 22:50:04,2018-02-16 06:40:04
1,3,2018-02-16 06:30:03,2018-02-16 15:00:03
1,4,2018-02-16 06:30:04,2018-02-16 15:00:04
1,3,2018-02-16 14:50:03,2018-02-16 23:00:00
1,4,2018-02-16 14:50:04,2018-02-16 22:54:20
1,3,2018-02-16 22:50:03,2018-02-17 06:40:00
1,4,2018-02-16 22:50:04,2018-02-16 22:54:20
